# Hoffman custom turret board - drill coordinate table
"# Origin = lower-left corner of board. Units = inches. Grid = 0.250"""
# Board size = 8.000 W x 3.125 H,,,,
"# Turret hole dia = 0.094"" (3/32"")","Mount hole dia = 0.150""",,,
Hole ID,X (in),Y (in),Dia (in),Net / Purpose
T1,0.500,2.750,0.094,IN
T2,0.500,2.250,0.094,V1a_G
T3,0.500,1.250,0.094,V1a_K
T4,1.000,2.750,0.094,V1a_P
T5,1.000,1.250,0.094,GND_1
T6,1.500,2.750,0.094,DRV_OUT
T7,2.000,2.750,0.094,SPLIT
T8,2.000,2.250,0.094,HF_G
T9,2.000,1.750,0.094,LF_G
T10,2.500,2.250,0.094,HF_G
T11,2.500,1.750,0.094,LF_G
T12,3.000,2.750,0.094,HF_P
T13,3.000,1.750,0.094,LF_P
T14,2.500,1.250,0.094,MIX_K
T15,3.500,2.750,0.094,MIX
T16,2.500,0.750,0.094,GND_2
T17,3.000,1.250,0.094,BIAS_HF
T18,3.000,0.750,0.094,BIAS_LF
T19,4.000,2.750,0.094,CATH_P
T20,4.000,2.250,0.094,CATH_G
T21,4.000,1.750,0.094,CATH_K
T22,4.500,2.750,0.094,LFO_P
T23,4.500,2.250,0.094,LFO_G
T24,4.500,1.250,0.094,LFO_K
T25,5.000,2.250,0.094,PS1
T26,5.000,1.750,0.094,PS2
T27,5.000,1.250,0.094,PS3
T28,4.000,0.750,0.094,GND_3
T29,5.500,2.750,0.094,FOL_G
T30,6.000,2.750,0.094,FOL_K
T31,6.000,2.250,0.094,FOL_OUT
T32,5.500,1.750,0.094,GND_4
T33,6.500,2.750,0.094,RLY_ENG
T34,6.500,2.250,0.094,RLY_BYP
T35,6.500,1.750,0.094,GND_5
T36,7.000,2.750,0.094,BPLUS1
T37,7.000,2.250,0.094,BPLUS2
T38,7.000,1.750,0.094,BPLUS3
T39,7.500,2.750,0.094,RECT_AC1
T40,7.500,2.250,0.094,RECT_AC2
T41,7.500,1.750,0.094,HTR_CT
T42,7.000,0.750,0.094,GND_PSU
T43,5.500,0.375,0.094,AC63
T44,6.000,0.375,0.094,DBL
T45,6.500,0.375,0.094,V16
T46,7.000,0.375,0.094,V12
T47,7.500,0.375,0.094,LED_A
MH1,0.250,0.250,0.150,board mounting hole
MH2,7.750,0.250,0.150,board mounting hole
MH3,0.250,2.875,0.150,board mounting hole
MH4,7.750,2.875,0.150,board mounting hole
